country,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754
Andorra,,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2,0.5,0.6,1,0.5,0.7,0.6,1.5,2.7,0.1,0.3,0.3,0.5,7775.026964,10362.16684,12615.05112,14305.2085,15166.91375,18876.72928,19530.8435,20541.7739,16508.87522,16226.97108,18460.00743,19038.79883,18405.3201,18969.97799,19323.89255,21432.96007,21897.66294,24175.37275,31742.99258,37235.45003,39990.33041,42417.22915,47253.5298,46735.99957,42701.44714,39639.38602,41630.05258
Afghanistan,,4,2,5,1,0,1,1,0,0,1,0,0,0.2,1,0,0,0,1.2,2.8,3.9,4,3.8,6.6,11.7,5.5,7.7,,,,,,,,,,,,,,,,,119.8990371,192.1535283,203.6510409,224.9147122,257.1757947,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544
Angola,,0,0,1,0,1,2,3,3,2,2.9,1,2.6,0.8,3.4,4.4,5,4.6,1.1,2.6,3.5,2.6,3.2,2.2,6.2,6.9,6,684.0968384,665.0904024,648.1482922,632.2169141,924.1296916,898.6445744,996.1993625,477.0181236,430.6852266,320.9421923,386.3890395,560.6369791,554.1552436,454.2693489,421.3758457,606.2696252,574.1951589,775.7654794,850.0756971,1135.605363,1576.162047,2253.839634,3151.020675,4242.365654,3678.9492,3886.478494,4744.985104
Albania,,0,1,2,11,6,15,8,12,17,15.1,18.6,10.4,14.5,15.9,6.7,10.3,16.8,8.9,7.3,9,10.2,12.3,13.5,8,18.3,26.9,662.9147926,719.1572957,699.3842921,676.5667325,723.4096102,639.4638993,348.711327,218.4921623,380.5273711,619.0649227,760.5593582,951.1320914,697.5945647,871.8936539,1104.743553,1193.466223,1336.859141,1458.328047,1859.552352,2466.00508,2781.572144,3051.76764,3603.01356,4370.539925,4114.134899,4094.360204,4437.811725
United Arab Emirates,,13,20,23,30,33,57,77,109,98,120.2,143.1,151.6,155.5,129.9,144.7,156,163.3,178.3,210.2,229.3,229.6,214,255.5,264.8,276.1,323.5,30067.13419,23727.69882,23953.34057,22476.97149,24218.55277,27989.3013,26945.65915,26864.18811,26141.33065,26495.82156,27973.74282,29813.37231,30378.54534,27681.31128,29278.76942,34207.53988,32105.64874,32355.41048,34294.89493,37179.6829,40298.52422,42950.10058,42913.78403,45720.0179,32905.05385,34341.91129,39778.48971
Argentina,1190,1459,1475,1423,1518,1627,1499,1526,1585,1747,1967.2,2287.2,2450.8,2550.7,2635.8,2846.1,2930.7,3178.1,2919.8,2981.6,3058.4,3264,3364.3,3567.1,3655.2,3767.6,3862.8,2909.516802,3595.086131,3546.71882,3969.327661,2375.33925,4318.774568,5715.504232,6797.752814,6940.698758,7449.480605,7373.427403,7683.573848,8172.665235,8248.76472,7736.372578,7669.273709,7170.689698,2693.106019,3382.900812,4732.803709,5694.419249,6649.413534,8250.244684,10054.11177,9277.425945,11227.8385,13439.94146
Armenia,,0,0,,,,,21,165,178,166,197.9,172.3,165.9,163.9,175.4,156.7,172.8,184.1,191.2,179.9,179.5,174.8,190.7,164.2,183.4,184.6,,,,,,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3016309,779.8296261,924.4640098,1181.968445,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.3,0.8,0.5,0,0.1,0.2,3070.43927,3806.149554,4512.53968,5415.84781,6025.847582,6325.240905,6575.480383,6680.375752,7037.93903,7514.483547,7230.320509,7702.670148,8027.630989,8355.618496,8572.373329,10094.75889,9797.96854,10027.85604,10382.63072,10993.36905,12079.8657,13599.90886,15276.06826,15786.17284,13979.26269,13017.31039,12817.84157
Australia,8247,10121,9831,9896,10730,10664,10742,11452,11929,12695,13125.4,13623.3,13815.7,14307.4,14341.1,14588.6,14484,14255.2,14933.6,15588.9,15974.4,17217.1,17833.8,18776.5,18932,19516.7,20602.6,11436.44754,11363.97745,11627.79453,14262.30342,17810.61462,18221.10499,18840.64044,18594.64928,17661.65887,18083.1385,20364.2497,21921.7799,23526.28664,21341.72965,20537.47184,21666.95168,19496.63871,20062.22114,23445.18676,30449.61965,33995.85167,36100.55852,40976.45219,49650.41754,42702.19828,51801.04895,62133.61078
